#Lasso_type	Category	Uniprot	Organism	pLDDT_chain	Protein_name	Loop_area	Loop_length	#FILTER: Lasso_type=L4;L5;L6;L7;L8 AND pLDDT_chain=>=80;
L+4C	AF-Unreviewed	A0A7Y5W0R8-F1	Dehalococcoidia bacterium	97.69	Uncharacterized protein	1954.08	103.0
L+4C	AF-Unreviewed	A0A3A0FMW1-F1	bacterium	97.56	Uncharacterized protein	1974.84	103.0
L-4C	AF-Unreviewed	A0A661D4I2-F1	Gammaproteobacteria bacterium	97.5	TIGR02452 family protein	1315.68	86.0
L-4N	AF-Unreviewed	A0A7Y5TVK3-F1	Gemmatimonadaceae bacterium	97.38	beta-glucosidase (EC 3.2.1.21)	12643.5	509.0
L+6C	AF-Unreviewed	A0A7C3LMY5-F1	Chloroflexi bacterium	97.38	Uncharacterized protein	1945.53	104.0
L+6C	AF-Unreviewed	A0A7V3CEX1-F1	Deltaproteobacteria bacterium	97.31	Uncharacterized protein	1934.82	100.0
L+6C	AF-Unreviewed	A0A1Q7AX56-F1	Actinobacteria bacterium	97.31	Phosphodiester glycosidase domain-containing protein	2049.6	107.0
L-4C	AF-Unreviewed	A0A3S1CLV3-F1	Trichormus variabilis	97.25	TIGR02452 family protein	1310.57	88.0
L+6C	AF-Unreviewed	A0A2W5Z9E2-F1	Candidatus Eremiobacter sp	97.19	Uncharacterized protein	1984.49	104.0
L-4N	AF-Unreviewed	A0A7Y5K2Q8-F1	Gemmatimonadaceae bacterium	97.19	beta-glucosidase (EC 3.2.1.21)	13073.2	509.0
L-5N	AF-Unreviewed	A5XB38-F1	disc abalone	97.06	Catalase	3996.61	193.0
L+4C	AF-Unreviewed	A0A177PX37-F1	bacterium SCGC	96.94	Uncharacterized protein	2019.48	109.0
L+4C	AF-Unreviewed	A0A359F6C3-F1	Acidimicrobiaceae bacterium	96.88	Uncharacterized protein	2025.5	107.0
L-4C	AF-Unreviewed	A0A846C209-F1	Symploca sp	96.88	TIGR02452 family protein	1372.43	88.0
L+6C	AF-Unreviewed	A0A538D3K6-F1	Actinomycetia bacterium	96.88	Uncharacterized protein	2033.11	107.0
L-4C	AF-Unreviewed	A0A347AE82-F1	Methanobacterium sp	96.88	Peptidase	2378.21	124.0
L+6C	AF-Unreviewed	A0A3A0BPC4-F1	Chloroflexi bacterium	96.81	Uncharacterized protein	1939.38	104.0
L-4C	AF-Unreviewed	A0A2H4VMD1-F1	Methanobacterium subterraneum	96.81	Peptidase	2336.87	125.0
L-4N	AF-Unreviewed	A0A497RLB7-F1	Archaeoglobales archaeon	96.81	Alcohol dehydrogenase	1479.05	101.0
L-4C	AF-Unreviewed	A0A6P0UWK0-F1	Symploca sp	96.81	TIGR02452 family protein	1364.6	88.0
L-4C	AF-Unreviewed	A0A7I8EH53-F1	Ktedonobacteria bacterium	96.75	Beta-glucosidase (EC 3.2.1.21)	6105.31	333.0
L-4C	AF-Unreviewed	A0A0S7LW33-F1	blackstripe livebearer	96.75	Xylosyltransferase 1 (EC 2.4.2.26) (Peptide O-xylosyltransferase 1) (Xylosyltransferase I)	3642.99	196.0
L-4C	AF-Unreviewed	A0A2I0PIX9-F1	Methanobacteriales archaeon	96.62	Peptidase	2215.03	125.0
L+6C	AF-Unreviewed	A0A1J5A9E8-F1	Anaerolineae bacterium	96.5	Uncharacterized protein	1924.76	104.0
L-4N	AF-Unreviewed	A0A6N3GYV6-F1	Erwinia herbicola	96.5	Putative oxidoreductase YcjS (EC 1.-.-.-)	1704.02	109.0
L-4C	AF-Unreviewed	A0A2H4V9I2-F1	Methanobacterium subterraneum	96.5	Peptidase	2376.72	125.0
L+6C	AF-Unreviewed	A0A838UP24-F1	Ktedonobacterales bacterium	96.5	Uncharacterized protein	1909.65	102.0
L-4N	AF-Unreviewed	A0A0H3CHG9-F1	Enterobacter cloacae subsp. cloacae 	96.5	Oxidoreductase domain-containing protein	1753.17	109.0
L-4N	AF-Unreviewed	A0A455VQX0-F1	Enterobacter asburiae	96.44	Oxidoreductase	1801.3	109.0
L-4N	AF-Unreviewed	A0A5Q5EK05-F1	Enterobacter sp	96.44	Gfo/Idh/MocA family oxidoreductase	1871.74	109.0
L-4N	AF-Unreviewed	A0A5C1C0H5-F1	Enterobacter chengduensis	96.44	Gfo/Idh/MocA family oxidoreductase	1813.12	109.0
L-4C	AF-Unreviewed	A0A2H4VJK2-F1	Methanobacterium sp	96.44	Peptidase	2274.43	125.0
L-4N	AF-Unreviewed	A0A330GHU0-F1	Enterobacter cloacae	96.44	Oxidoreductase	1660.13	109.0
L-4C	AF-Unreviewed	A0A3S1CJW8-F1	Calothrix desertica	96.44	Microbial-type PARG catalytic domain-containing protein	1372.09	88.0
L-4N	AF-Unreviewed	A0A1Z3MW56-F1	Enterobacter cloacae complex sp	96.44	Oxidoreductase	1793.35	109.0
L-4N	AF-Unreviewed	V3QW04-F1	Enterobacter sp	96.44	Oxidoreductase domain-containing protein	1844.01	109.0
L-4N	AF-Unreviewed	A0A855EQE1-F1	Leclercia adecarboxylata	96.44	Oxidoreductase	1823.87	109.0
L-4N	AF-Unreviewed	A0A808IA24-F1	Enterobacter sp	96.44	Gfo/Idh/MocA family oxidoreductase	1785.63	109.0
L-4N	AF-Unreviewed	A0A2U3F5R9-F1	Enterobacter sp	96.44	Oxidoreductase	1780.24	109.0
L-4N	AF-Unreviewed	A0A822WHY3-F1	Enterobacter hormaechei	96.38	Protein YcjS (EC 1.-.-.-)	1646.27	109.0
L-4N	AF-Unreviewed	A0A822WNU6-F1	Enterobacter bugandensis	96.38	Protein YcjS (EC 1.-.-.-)	1784.47	109.0
L-4N	AF-Unreviewed	A0A2J0Q3W7-F1	Enterobacter hormaechei	96.38	Oxidoreductase	1801.67	109.0
L-4N	AF-Reviewed	A0A2S9A2D4-F1	Microbacterium sp	96.38	o-succinylbenzoate synthase (EC 4.2.1.113)	5262.46	298.0
L-4N	AF-Unreviewed	A0A837FG69-F1	Enterobacter hormaechei subsp	96.38	Oxidoreductase	1854.91	109.0
L-4C	AF-Unreviewed	A0A7K4DMA7-F1	Methanobacterium subterraneum	96.38	TldD/PmbA family protein	2375.58	125.0
L-4N	AF-Unreviewed	A0A7W2V3S9-F1	Enterobacter sp	96.38	Gfo/Idh/MocA family oxidoreductase	1732.43	109.0
L-4N	AF-Unreviewed	A0A7T9PDI9-F1	Enterobacter hormaechei	96.38	Gfo/Idh/MocA family oxidoreductase	1887.08	109.0
